id,url,text,source,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt
1914654162324701203,https://x.com/elonmusk/status/1914654162324701203,"RT @MarioNawfal: 🇺🇸VIVEK: UNELECTED BUREAUCRATS ARE THE “FOURTH BRANCH” THE FOUNDERS NEVER WANTED

Running for Ohio governor, Vivek Ramaswa…",Twitter for iPhone,1442,368,6977,44,1415309,Tue Apr 22 12:14:59 +0000 2025
1914653015270637618,https://x.com/elonmusk/status/1914653015270637618,Separate audio system for the rear screen,Twitter for iPhone,2655,2104,23997,119,7286640,Tue Apr 22 12:10:26 +0000 2025
1914652849432154143,https://x.com/elonmusk/status/1914652849432154143,RT @ada_lluch: Melania Trump looked stunning as always. 🥰 https://t.co/jIFpLsarCH,Twitter for iPhone,1262,858,13621,66,829507,Tue Apr 22 12:09:46 +0000 2025
1914647843031089637,https://x.com/elonmusk/status/1914647843031089637,Exactly,Twitter for iPhone,2526,3160,28639,160,15393677,Tue Apr 22 11:49:52 +0000 2025
1914647643285868571,https://x.com/elonmusk/status/1914647643285868571,Yes,Twitter for iPhone,8663,1950,53612,145,17362912,Tue Apr 22 11:49:05 +0000 2025
1914647570921541865,https://x.com/elonmusk/status/1914647570921541865,"RT @cb_doge: Happy Earth Day 🌎

 https://t.co/KXxYOrk524",Twitter for iPhone,959,607,6137,63,784393,Tue Apr 22 11:48:47 +0000 2025
1914647121690587182,https://x.com/elonmusk/status/1914647121690587182,RT @VigilantFox: NEW: Scott Jennings says Larry David’s attack on Bill Maher wasn’t about dinner—it was the modern left threatening the nex…,Twitter for iPhone,5746,821,28510,238,1626832,Tue Apr 22 11:47:00 +0000 2025
1914646787811389579,https://x.com/elonmusk/status/1914646787811389579,RT @TheChiefNerd: “Dr. Anthony Fauci’s fortune doubled — hitting about $15 million — between early 2019 and the end of 2023 over the course…,Twitter for iPhone,2382,574,8251,153,838080,Tue Apr 22 11:45:41 +0000 2025
1914644015187738827,https://x.com/elonmusk/status/1914644015187738827,https://t.co/kslsp7oJ7g,Twitter for iPhone,7947,3931,45372,458,9831509,Tue Apr 22 11:34:40 +0000 2025
1914641850171801645,https://x.com/elonmusk/status/1914641850171801645,"RT @stillgray: Britain is now arresting up to 30 people every day for online speech-related offenses. No jokes, no memes, no criticism that…",Twitter for iPhone,2175,961,6882,199,785791,Tue Apr 22 11:26:04 +0000 2025
