,event_id,event_fin_offset,event_time,fin_time,event_emo,actual_return,expected_return,abnormal_return,actual_volume,expected_volume,abnormal_volume
31,2,31,2024-02-05 12:23:00+00:00,2024-02-05 12:54:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
32,2,32,2024-02-05 12:23:00+00:00,2024-02-05 12:55:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
33,2,33,2024-02-05 12:23:00+00:00,2024-02-05 12:56:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
34,2,34,2024-02-05 12:23:00+00:00,2024-02-05 12:57:00+00:00,sadness,0.0011597658792351,1.1177286561923335e-05,0.0011485885926731767,3.9318256327243257,0.0,3.9318256327243257
35,2,35,2024-02-05 12:23:00+00:00,2024-02-05 12:58:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
36,2,36,2024-02-05 12:23:00+00:00,2024-02-05 12:59:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
37,2,37,2024-02-05 12:23:00+00:00,2024-02-05 13:00:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
38,2,38,2024-02-05 12:23:00+00:00,2024-02-05 13:01:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
39,2,39,2024-02-05 12:23:00+00:00,2024-02-05 13:02:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
40,2,40,2024-02-05 12:23:00+00:00,2024-02-05 13:03:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
41,2,41,2024-02-05 12:23:00+00:00,2024-02-05 13:04:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
42,2,42,2024-02-05 12:23:00+00:00,2024-02-05 13:05:00+00:00,sadness,0.0002318613893055,1.1177286561923335e-05,0.00022068410274357668,2.772588722239781,0.0,2.772588722239781
43,2,43,2024-02-05 12:23:00+00:00,2024-02-05 13:06:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
44,2,44,2024-02-05 12:23:00+00:00,2024-02-05 13:07:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
45,2,45,2024-02-05 12:23:00+00:00,2024-02-05 13:08:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
46,2,46,2024-02-05 12:23:00+00:00,2024-02-05 13:09:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
47,2,47,2024-02-05 12:23:00+00:00,2024-02-05 13:10:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
48,2,48,2024-02-05 12:23:00+00:00,2024-02-05 13:11:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
49,2,49,2024-02-05 12:23:00+00:00,2024-02-05 13:12:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
50,2,50,2024-02-05 12:23:00+00:00,2024-02-05 13:13:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
51,2,51,2024-02-05 12:23:00+00:00,2024-02-05 13:14:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
52,2,52,2024-02-05 12:23:00+00:00,2024-02-05 13:15:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
53,2,53,2024-02-05 12:23:00+00:00,2024-02-05 13:16:00+00:00,sadness,-0.0005796093595292,1.1177286561923335e-05,-0.0005907866460911232,6.68586094706836,0.0,6.68586094706836
54,2,54,2024-02-05 12:23:00+00:00,2024-02-05 13:17:00+00:00,sadness,0.0,1.1177286561923335e-05,-1.1177286561923335e-05,0.0,0.0,0.0
