,datetime,open,high,low,close,volume
0,2023-05-02 21:52:00,145.28,145.28,145.28,145.28,0
1,2023-05-02 21:31:00,144.98,144.98,144.98,144.98,0
2,2023-05-02 21:05:00,145.74001,145.74001,145.74001,145.74001,0
3,2023-05-02 20:38:00,146.03999,146.03999,146.03999,146.03999,6
4,2023-05-02 20:23:00,146.12,146.12,146.12,146.12,13063
5,2023-05-02 19:32:00,146.74001,146.74001,146.74001,146.74001,0
6,2023-05-02 19:14:00,147.5,147.5,147.5,147.5,13059
7,2023-05-02 18:27:00,146.64,146.64,146.64,146.64,0
8,2023-05-02 18:00:00,146.06,146.06,146.06,146.06,7
9,2023-05-02 17:52:00,146.42,146.42,146.42,146.42,20
10,2023-05-02 17:32:00,145.78,145.78,145.78,145.78,12947
11,2023-05-02 16:54:00,147.02,147.02,147.02,147.02,0
12,2023-05-02 16:51:00,147.72,147.72,147.72,147.72,12895
13,2023-05-02 15:59:00,150.08,150.08,150.08,150.08,0
14,2023-05-02 15:51:00,150.5,150.5,150.5,150.5,13
15,2023-05-02 15:44:00,150.0,150.0,150.0,150.0,100
16,2023-05-02 15:36:00,150.64,150.64,150.64,150.64,70
17,2023-05-02 15:33:00,149.34,149.34,149.34,149.34,3
18,2023-05-02 15:32:00,148.56,148.56,148.56,148.56,12683
19,2023-05-02 15:07:00,148.0,148.0,148.0,148.0,0
20,2023-05-02 14:53:00,148.16,148.16,148.16,148.16,100
21,2023-05-02 14:46:00,148.06,148.06,148.06,148.06,6
22,2023-05-02 14:42:00,148.08,148.08,148.08,148.08,20
23,2023-05-02 14:37:00,147.58,147.58,147.58,147.58,25
24,2023-05-02 14:21:00,147.0,147.0,147.0,147.0,11400
25,2023-05-02 14:16:00,146.86,146.89999,146.86,146.89999,16
26,2023-05-02 14:13:00,146.8,146.8,146.8,146.8,15
27,2023-05-02 13:35:00,147.39999,147.39999,147.39999,147.39999,2
28,2023-05-02 13:11:00,147.42,147.42,147.42,147.42,30
29,2023-05-02 12:42:00,148.12,148.12,148.12,148.12,35
30,2023-05-02 12:22:00,147.89999,147.89999,147.89999,147.89999,63
31,2023-05-02 12:09:00,148.25999,148.25999,148.25999,148.25999,35
32,2023-05-02 11:54:00,148.38,148.38,148.38,148.38,61
33,2023-05-02 11:44:00,148.25999,148.25999,148.25999,148.25999,15
34,2023-05-02 11:25:00,148.0,148.0,148.0,148.0,10
35,2023-05-02 11:14:00,148.03999,148.03999,148.03999,148.03999,2
36,2023-05-02 11:13:00,148.02,148.02,148.02,148.02,1
37,2023-05-02 11:12:00,148.03999,148.03999,148.03999,148.03999,20
38,2023-05-02 10:21:00,147.92,147.92,147.92,147.92,50
39,2023-05-02 10:00:00,147.25999,147.25999,147.25999,147.25999,10
40,2023-05-02 09:50:00,147.25999,147.25999,147.25999,147.25999,4
41,2023-05-02 09:47:00,147.52,147.52,147.52,147.52,35
42,2023-05-02 09:41:00,147.5,147.5,147.5,147.5,33
43,2023-05-02 08:42:00,147.62,147.62,147.62,147.62,32
44,2023-05-02 08:27:00,147.64,147.64,147.64,147.64,6
45,2023-05-02 08:05:00,148.08,148.08,148.08,148.08,45
46,2023-05-02 08:02:00,147.42,147.42,147.42,147.42,7
47,2023-05-02 08:01:00,148.06,148.06,148.06,148.06,0
48,2023-05-03 21:57:00,145.56,145.56,145.56,145.56,10
49,2023-05-03 21:38:00,146.0,146.0,146.0,146.0,2223
50,2023-05-03 20:31:00,148.92,148.92,148.92,148.92,0
51,2023-05-03 19:49:00,148.53999,148.53999,148.53999,148.53999,10
52,2023-05-03 19:46:00,148.2,148.2,148.2,148.2,11
53,2023-05-03 19:41:00,148.82001,148.82001,148.82001,148.82001,60
54,2023-05-03 19:17:00,149.06,149.06,149.06,149.06,35
55,2023-05-03 18:58:00,148.53999,148.53999,148.53999,148.53999,8
56,2023-05-03 18:11:00,148.75999,148.75999,148.75999,148.75999,1
