,1. open,2. high,3. low,4. close
2023-05-17,0.92030,0.92470,0.91920,0.92220
2023-05-16,0.91910,0.92090,0.91680,0.92030
2023-05-15,0.92150,0.92170,0.91800,0.91920
2023-05-12,0.91580,0.92150,0.91420,0.92150
2023-05-11,0.91010,0.91710,0.90890,0.91540
2023-05-10,0.91230,0.91370,0.90840,0.91020
2023-05-09,0.90860,0.91370,0.90850,0.91160
2023-05-08,0.90710,0.90890,0.90450,0.90840
2023-05-05,0.90780,0.91120,0.90490,0.90720
2023-05-04,0.90320,0.90980,0.90130,0.90750
2023-05-03,0.90870,0.90870,0.90160,0.90360
2023-05-02,0.91090,0.91350,0.90820,0.90870
2023-05-01,0.90730,0.91180,0.90590,0.91080
